frame,prompts,delayeds
0,27605,31008
1,26426,29629
2,44809,47742
3,1238368,617315
4,3293608,1258116
5,3613414,1188222
6,3970365,1255165
7,4323638,1335218
8,4677731,1418183
9,4979039,1487430
10,5253743,1563580
11,5616151,1679891
12,5857090,1729745
13,6110009,1821381
14,6393852,1911971
15,6718713,2031595
16,7027348,2130533
17,7312342,2216732
18,7582625,2306209
19,7873711,2394497
20,8164243,2487893
21,8426383,2584734
22,8732823,2689498
23,8999248,2785676
24,9273660,2889741
25,9554310,2997015
26,9830331,3102314
27,10098380,3204356
28,10370869,3307990
29,10645692,3410709
30,10931234,3520386
31,11151847,3619132
32,11424475,3731959
33,11667904,3826810
34,11926824,3934709
35,12185480,4043105
36,12447852,4153053
37,12743505,4265147
38,13025032,4377153
39,13287521,4493788
40,13546197,4595334
41,13789300,4690037
42,14067476,4802528
43,14335819,4918268
44,14581628,5028742
45,14829383,5132191
46,15093923,5241337
47,15347403,5348088
48,15592100,5453066
49,15857105,5571256
50,16114204,5688527
51,16377960,5802509
52,16649948,5936580
53,16919121,6063871
54,17164263,6174800
55,17420892,6289068
56,17682654,6408365
57,17944324,6535027
58,18200684,6646624
59,18473132,6778630
60,18706664,6877038
61,18979146,7011089
62,19207012,7102497
63,19439781,7210861
64,19710949,7338253
65,19958903,7446514
66,20205319,7555222
67,20458605,7668025
68,20687515,7773874
69,20941669,7888860
70,21167855,8003088
71,21425596,8110635
72,21673012,8247553
73,21910336,8343343
74,22192922,8488524
75,22450023,8631368
76,22691421,8764283
77,22933516,8864318
78,23182537,8990829
79,23429317,9105136
80,23685055,9219900
81,23951023,9373311
82,24152075,9453593
83,24400837,9583904
84,24610838,9678299
85,24845540,9789347
86,25091380,9897583
87,25324237,10003095
88,25554636,10117580
89,25765545,10221466
90,26009986,10344575
91,26247123,10464662
92,26477794,10574500
93,26711872,10701489
94,26930554,10810140
95,27166802,10934145
96,27422581,11054501
97,27670147,11199287
98,27862488,11288839
99,28092382,11406318
100,28299196,11521314
101,28549197,11651297
102,28744419,11755971
103,28950548,11843524
104,29230222,11977584
